Mineral,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Bauxite Iron,1300,800,,1407,,,
Chalk,750,,,,,,
China Clay,6628,6642,11744,8722,4678,3523,3763
Clay,380,,,4010,912,540,
Clay (Shale),451864,520326,351610,409237,139934,739685,719982
Coal,752124,1068638,478652,1491228,4414296,4953159,4974586
Dolomite,6135,,,,,,
Fuller's Earth,3633,1527,2344,1863,2442,732,734
Granite,,,2976,,,857,263
Gravel,403330,437158,819872,1459896,386084,9679,5803
Iron Ore,,,300,1590,,3367,140
Lake Salt,239695,,235749,213198,114754,226570,198827
Laterite,35503,33562,13000,5852,16370,14434,330
Limestone,7754028,7853978,8538089,7747440,5606991,9726751,8823762
Marble,3150,2713,2782,18318,12337,1939,924
Mouram,7280,9100,1930,19214,2441,,11539
Ordinary Sand,19580,54293,43000,37514,6923,7560,850
Rati/Bajri,24070,29306,39450,40491,27911,19341,7020
Silica Sand,31049,22379,16796,16385,4971,19870,5069
Trona,260,445,330,465,250,265,417